id_nivel,elemento,estado_ionizacion,espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev,referencia
002001.000077,He,1,He I,1s.7d,3D,3.0,3,True,7.0,24.3095408973,True,8e-12,"L22715c200,L21466"
002001.000078,He,1,He I,1s.7d,3D,2.0,2,True,5.0,24.309540927161,True,8e-12,"L22715c200,L21466"
002001.000079,He,1,He I,1s.7d,3D,1.0,1,True,3.0,24.309541353601,True,8e-12,"L22715c200,L21466"
002001.000080,He,1,He I,1s.7d,1D,2.0,2,True,5.0,24.309597381304,True,8e-12,"L22715c200,L21466"
002001.000081,He,1,He I,1s.7f,3F*,3.0,3,True,7.0,24.3097272911601,True,2.1e-12,L22715c200
002001.000082,He,1,He I,1s.7f,3F*,4.0,4,True,9.0,24.3097274083893,True,1.6e-12,L22715c200
002001.000083,He,1,He I,1s.7f,3F*,2.0,2,True,5.0,24.309727607568,True,2.1e-12,L22715c200
002001.000084,He,1,He I,1s.7f,1F*,3.0,3,True,7.0,24.3097278970701,True,1.6e-12,L22715c200
002001.000085,He,1,He I,1s.7g,3G,4.0,4,True,9.0,24.3097511655788,True,6e-13,L22715c200
002001.000086,He,1,He I,1s.7g,3G,5.0,5,True,11.0,24.3097512905603,True,4e-13,L22715c200
002001.000087,He,1,He I,1s.7g,3G,3.0,3,True,7.0,24.3097514043543,True,6e-13,L22715c200
002001.000088,He,1,He I,1s.7g,1G,4.0,4,True,9.0,24.3097514811699,True,4e-13,L22715c200
002001.000089,He,1,He I,1s.7h,3H*,5.0,5,True,11.0,24.30975684089325,True,2.5e-13,L22715c200
002001.000090,He,1,He I,1s.7h,3H*,6.0,6,True,13.0,24.30975692242005,True,2.5e-13,L22715c200
002001.000091,He,1,He I,1s.7h,3H*,4.0,4,True,9.0,24.30975699641729,True,2.5e-13,L22715c200
002001.000092,He,1,He I,1s.7h,1H*,5.0,5,True,11.0,24.30975705163464,True,2.5e-13,L22715c200
002001.000093,He,1,He I,1s.7i,3I,6.0,6,True,13.0,24.30975862360302,True,2.5e-13,L22715c200
002001.000094,He,1,He I,1s.7i,3I,7.0,7,True,15.0,24.30975868078527,True,2.5e-13,L22715c200
002001.000095,He,1,He I,1s.7i,3I,5.0,5,True,11.0,24.30975873289013,True,2.5e-13,L22715c200
002001.000096,He,1,He I,1s.7i,1I,6.0,6,True,13.0,24.3097587742861,True,2.5e-13,L22715c200
002001.000097,He,1,He I,1s.7p,1P*,1.0,1,True,3.0,24.31070817873,True,3e-11,L22715c200
002001.000098,He,1,He I,1s.8s,3S,1.0,1,True,3.0,24.358104144,True,3e-10,L22715c200
002001.000099,He,1,He I,1s.8s,1S,0.0,0,True,1.0,24.3671800778,True,3e-10,L22715c200
002001.000100,He,1,He I,1s.8p,3P*,2.0,2,True,5.0,24.37116588077,True,1.2e-10,L22715c200
002001.000101,He,1,He I,1s.8p,3P*,1.0,1,True,3.0,24.37116601407,True,1.2e-10,L22715c200
002001.000102,He,1,He I,1s.8p,3P*,0.0,0,True,1.0,24.37116765163,True,1.2e-10,L22715c200
002001.000103,He,1,He I,1s.8d,3D,3.0,3,True,7.0,24.374680880069,True,8e-12,"L22715c200,L21466"
002001.000104,He,1,He I,1s.8d,3D,2.0,2,True,5.0,24.374680900214,True,8e-12,"L22715c200,L21466"
002001.000105,He,1,He I,1s.8d,3D,1.0,1,True,3.0,24.374681185743,True,8e-12,"L22715c200,L21466"
002001.000106,He,1,He I,1s.8d,1D,2.0,2,True,5.0,24.374719544511,True,4e-12,"L22715c200,L21466"
002001.000107,He,1,He I,1s.8f,3F*,3.0,3,True,7.0,24.3748069170618,True,1.2e-12,L22715c200
002001.000108,He,1,He I,1s.8f,3F*,4.0,4,True,9.0,24.3748069921824,True,1.2e-12,L22715c200
002001.000109,He,1,He I,1s.8f,3F*,2.0,2,True,5.0,24.3748071255995,True,1.2e-12,L22715c200
002001.000110,He,1,He I,1s.8f,1F*,3.0,3,True,7.0,24.3748073302369,True,1.2e-12,L22715c200
002001.000111,He,1,He I,1s.8g,3G,4.0,4,True,9.0,24.3748231461435,True,5e-13,L22715c200
002001.000112,He,1,He I,1s.8g,3G,5.0,5,True,11.0,24.374823229828,True,4e-13,L22715c200
002001.000113,He,1,He I,1s.8g,3G,3.0,3,True,7.0,24.3748233060576,True,5e-13,L22715c200
002001.000114,He,1,He I,1s.8g,1G,4.0,4,True,9.0,24.3748233575671,True,4e-13,L22715c200
002001.000115,He,1,He I,1s.8h,3H*,5.0,5,True,11.0,24.37482704046834,True,2.5e-13,L22715c200
002001.000116,He,1,He I,1s.8h,3H*,6.0,6,True,13.0,24.37482709508499,True,2.5e-13,L22715c200
002001.000117,He,1,He I,1s.8h,3H*,4.0,4,True,9.0,24.37482714465648,True,2.5e-13,L22715c200
002001.000118,He,1,He I,1s.8h,1H*,5.0,5,True,11.0,24.3748271816484,True,2.5e-13,L22715c200
002001.000119,He,1,He I,1s.8i,3I,6.0,6,True,13.0,24.37482827854156,True,2.5e-13,L22715c200
002001.000120,He,1,He I,1s.8i,3I,7.0,7,True,15.0,24.37482831684934,True,2.5e-13,L22715c200
