id_nivel,codigo_referencia
002001.000484,L22715c201
002001.000459,L22715c201
002001.000609,L22715c201
002001.000634,L22715c201
002001.000584,L22715c201
002001.000559,L22715c201
002001.000709,L22715c201
002001.000734,L22715c201
002001.000684,L22715c201
002001.000659,L22715c201
002001.000809,L22715c201
002001.000834,L22715c201
002001.000784,L22715c201
002001.000759,L22715c201
002001.000259,L22715c201
002001.000240,L22715c201
002001.000215,L22715c201
002001.000335,L22715c201
002001.000310,L22715c201
002001.000285,L22715c201
002001.000435,L22715c201
002001.000410,L22715c201
002001.000385,L22715c201
002001.000360,L22715c201
002001.000510,L22715c201
002001.000535,L22715c201
002001.000485,L22715c201
002001.000460,L22715c201
002001.000610,L22715c201
002001.000635,L22715c201
002001.000585,L22715c201
002001.000560,L22715c201
002001.000710,L22715c201
002001.000735,L22715c201
002001.000685,L22715c201
002001.000660,L22715c201
002001.000810,L22715c201
002001.000835,L22715c201
002001.000785,L22715c201
002001.000760,L22715c201
002001.000260,L22715c201
002001.000241,L22715c201
002001.000216,L22715c201
002001.000336,L22715c201
002001.000311,L22715c201
002001.000286,L22715c201
002001.000436,L22715c201
002001.000411,L22715c201
002001.000386,L22715c201
002001.000361,L22715c201
002001.000511,L22715c201
002001.000536,L22715c201
002001.000486,L22715c201
002001.000461,L22715c201
002001.000611,L22715c201
002001.000636,L22715c201
002001.000586,L22715c201
002001.000561,L22715c201
002001.000711,L22715c201
002001.000736,L22715c201
002001.000686,L22715c201
002001.000661,L22715c201
002001.000811,L22715c201
002001.000836,L22715c201
002001.000786,L22715c201
002001.000761,L22715c201
002001.000261,L22715c201
002001.000242,L22715c201
002001.000217,L22715c201
002001.000337,L22715c201
002001.000312,L22715c201
002001.000287,L22715c201
002001.000437,L22715c201
002001.000412,L22715c201
002001.000387,L22715c201
002001.000362,L22715c201
002001.000512,L22715c201
002001.000537,L22715c201
002001.000487,L22715c201
002001.000462,L22715c201
002001.000612,L22715c201
002001.000637,L22715c201
002001.000587,L22715c201
002001.000562,L22715c201
002001.000712,L22715c201
002001.000737,L22715c201
002001.000687,L22715c201
002001.000662,L22715c201
002001.000812,L22715c201
002001.000837,L22715c201
002001.000787,L22715c201
002001.000762,L22715c201
002001.000262,L22715c201
002001.000243,L22715c201
002001.000218,L22715c201
002001.000338,L22715c201
002001.000313,L22715c201
002001.000288,L22715c201
002001.000438,L22715c201
002001.000413,L22715c201
002001.000388,L22715c201
002001.000363,L22715c201
002001.000513,L22715c201
002001.000538,L22715c201
002001.000488,L22715c201
002001.000463,L22715c201
002001.000613,L22715c201
002001.000638,L22715c201
002001.000588,L22715c201
002001.000563,L22715c201
002001.000713,L22715c201
002001.000738,L22715c201
002001.000688,L22715c201
002001.000663,L22715c201
002001.000813,L22715c201
002001.000838,L22715c201
002001.000788,L22715c201
002001.000763,L22715c201
002001.000263,L22715c201
002001.000244,L22715c201
002001.000219,L22715c201
002001.000339,L22715c201
002001.000314,L22715c201
002001.000289,L22715c201
002001.000439,L22715c201
002001.000414,L22715c201
002001.000389,L22715c201
002001.000364,L22715c201
002001.000514,L22715c201
002001.000539,L22715c201
002001.000489,L22715c201
002001.000464,L22715c201
002001.000614,L22715c201
002001.000639,L22715c201
002001.000589,L22715c201
002001.000564,L22715c201
002001.000714,L22715c201
002001.000739,L22715c201
002001.000689,L22715c201
002001.000664,L22715c201
002001.000814,L22715c201
002001.000839,L22715c201
002001.000789,L22715c201
002001.000764,L22715c201
002001.000264,L22715c201
002001.000245,L22715c201
002001.000220,L22715c201
002001.000340,L22715c201
002001.000315,L22715c201
002001.000290,L22715c201
002001.000440,L22715c201
002001.000415,L22715c201
002001.000390,L22715c201
002001.000365,L22715c201
002001.000515,L22715c201
002001.000540,L22715c201
002001.000490,L22715c201
002001.000465,L22715c201
002001.000615,L22715c201
002001.000640,L22715c201
002001.000590,L22715c201
002001.000565,L22715c201
002001.000715,L22715c201
002001.000740,L22715c201
002001.000690,L22715c201
002001.000665,L22715c201
002001.000815,L22715c201
002001.000840,L22715c201
002001.000790,L22715c201
002001.000765,L22715c201
002001.000265,L22715c201
002001.000246,L22715c201
002001.000221,L22715c201
002001.000341,L22715c201
002001.000316,L22715c201
002001.000291,L22715c201
002001.000441,L22715c201
002001.000416,L22715c201
002001.000391,L22715c201
002001.000366,L22715c201
002001.000516,L22715c201
002001.000541,L22715c201
002001.000491,L22715c201
002001.000466,L22715c201
002001.000616,L22715c201
002001.000641,L22715c201
002001.000591,L22715c201
002001.000566,L22715c201
002001.000716,L22715c201
002001.000741,L22715c201
002001.000691,L22715c201
002001.000666,L22715c201
002001.000816,L22715c201
002001.000841,L22715c201
002001.000791,L22715c201
002001.000766,L22715c201
002001.000266,L22715c201
002001.000247,L22715c201
002001.000222,L22715c201
002001.000342,L22715c201
002001.000317,L22715c201
002001.000292,L22715c201
002001.000442,L22715c201
002001.000417,L22715c201
002001.000392,L22715c201
002001.000367,L22715c201
002001.000517,L22715c201
002001.000542,L22715c201
002001.000492,L22715c201
002001.000467,L22715c201
002001.000617,L22715c201
002001.000642,L22715c201
002001.000592,L22715c201
002001.000567,L22715c201
002001.000717,L22715c201
002001.000742,L22715c201
002001.000692,L22715c201
002001.000667,L22715c201
002001.000817,L22715c201
002001.000842,L22715c201
002001.000792,L22715c201
002001.000767,L22715c201
002001.000267,L22715c201
002001.000248,L22715c201
002001.000223,L22715c201
002001.000343,L22715c201
002001.000318,L22715c201
002001.000293,L22715c201
002001.000443,L22715c201
002001.000418,L22715c201
002001.000393,L22715c201
002001.000368,L22715c201
002001.000518,L22715c201
002001.000543,L22715c201
002001.000493,L22715c201
002001.000468,L22715c201
002001.000618,L22715c201
002001.000643,L22715c201
002001.000593,L22715c201
002001.000568,L22715c201
002001.000718,L22715c201
002001.000743,L22715c201
002001.000693,L22715c201
002001.000668,L22715c201
002001.000818,L22715c201
002001.000843,L22715c201
002001.000793,L22715c201
002001.000768,L22715c201
002001.000268,L22715c201
002001.Lim001,L17714
002001.000195,L1368
002001.000189,L1341
002001.000196,L1368
002001.000197,L1368
002001.000198,L1368
003001.000001,L3462
003001.Lim001,L12261
003002.000001,L3501
003002.000002,L3501c202
003002.000003,L4834c203
003002.000004,L3501c202
003002.000005,L3501c202
003002.000006,L3501c202
003002.000007,L3501c202
003002.000008,L3501c202
003002.000009,L3501c202
003002.000010,L3501c202
003002.000011,L3501c202
003002.000012,L3501c202
003002.000013,L3501c202
003002.000014,L3501c202
003002.000015,L3501c202
003002.000016,L3501c202
003002.000017,L3501c202
003002.000018,L3501c202
003002.000019,L3501c202
003002.000020,L3501c202
003002.000021,L3501c202
003002.000022,L3501c202
003002.000023,L3501c202
003002.000024,L3501c202
003002.000025,L3501c202
003002.000026,L3501c202
003002.000027,L3501c202
003002.000028,L3501c202
003002.000029,L3501c202
003002.000030,L3501c202
003002.000031,L6124c204
003002.000032,L3501c202
003002.000033,L3501c202
003002.000034,L3501c202
003002.000035,L3501c202
003002.000036,L3501c202
003002.000037,L3501c202
003002.000038,L3501c202
003002.000039,L3501c202
003002.000040,L3501c202
003002.000041,L3501c202
003002.000042,L3501c202
003002.000043,L3501c202
003002.000044,L3501c202
003002.000138,u46
003002.000139,u46
003002.000140,u46
003002.000141,u46
003002.000045,L6124c204
