id_linea,elemento,espectro,estado_ionizacion,longitud_onda_nm,longitud_onda_vacio_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,region_espectral,aki_s1,log10_aki,tiene_aki,fuerza_oscilador_fik,log_gf,exactitud,tipo_transicion,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,energia_foton_ev,configuracion_inferior,termino_inferior,j_inferior,j_inferior_texto,j_inferior_resuelto,g_inferior,configuracion_superior,termino_superior,j_superior,j_superior_texto,j_superior_resuelto,g_superior,id_nivel_inferior,id_nivel_superior,ref_probabilidad,ref_longitud_onda,medicion_repetida
12579,N,N I,1,1344.8121,1345.1886473880002,ritz,aire,,1344.8121,False,,,Infrarrojo,550000.0,5.740362689494244,True,0.0149,-1.224,C+,E1,,,96787.68,104221.63,False,False,False,False,0.9216923319823968,2s2.2p2.(3P).3p,2D*,1.5,3/2,True,4,2s2.2p2.(3P).4s,2P,1.5,3/2,True,4,007001.000035,007001.000045,T7370,,False
12580,N,N I,1,1345.585,1345.9617638000002,ritz,aire,,1345.585,False,,,Infrarrojo,2910.0,3.4638929889859074,True,5.27e-05,-3.5,D+,E1,,,103735.48,111165.158,False,False,False,False,0.9211626714866658,2s2.2p2.(3P).4s,4P,2.5,5/2,True,6,2s2.2p2.(3P).5p,4D*,1.5,3/2,True,4,007001.000043,007001.000122,"u18,LS",,False
12581,B,B II,2,1346.29,1346.6669612,ritz,aire,,1346.29,False,,0.09,Infrarrojo,63000.0,4.799340549453582,True,0.0029,-2.07,D,E1,,,183618.81,191044.6,False,False,False,False,0.9206806209231376,1s2.2s.5p,3P*,1.0,1,True,3,1s2.2p.3p,3D,2.0,2,True,5,005002.000042,005002.000073,"u27,LS",,False
12582,B,B II,2,1346.29,1346.6669612,ritz,aire,,1346.29,False,,0.07,Infrarrojo,22000.0,4.342422680822207,True,0.00059,-2.5,D,E1,,,183618.81,191044.6,False,False,False,False,0.9206806209231376,1s2.2s.5p,3P*,2.0,2,True,5,1s2.2p.3p,3D,2.0,2,True,5,005002.000043,005002.000073,"u27,LS",,False
12583,N,N I,1,1346.4531,1346.830106868,ritz,aire,,1346.4531,False,,,Infrarrojo,550000.0,5.740362689494244,True,0.0151,-1.043,C,E1,,,88107.26,95532.15,False,False,False,False,0.9205690351445418,2s.2p4,4P,2.5,5/2,True,6,2s2.2p2.(3P).3p,4P*,2.5,5/2,True,6,007001.000023,007001.000033,T7370,,False
12584,O,O II,2,1347.976,1348.3534332800002,ritz,aire,,1347.976,False,,,Infrarrojo,15900000.0,7.201397124320452,True,0.867,0.239,D,E1,,,248426.41,255842.91,False,False,False,False,0.9195288077196423,2s2.2p2.(3P).4p,2P*,0.5,1/2,True,2,2s2.2p2.(3P).4d,2D,1.5,3/2,True,4,008002.000082,008002.000119,T5723LS,,False
12585,B,B II,2,1348.07,1348.4474596,ritz,aire,,1348.07,False,,0.11,Infrarrojo,47000.0,4.672097857935717,True,0.0038,-2.42,D,E1,,,183618.81,191034.8,False,False,False,False,0.9194655757784375,1s2.2s.5p,3P*,0.0,0,True,1,1s2.2p.3p,3D,1.0,1,True,3,005002.000041,005002.000072,"u27,LS",,False
12586,B,B II,2,1348.07,1348.4474596,ritz,aire,,1348.07,False,,0.09,Infrarrojo,36000.0,4.556302500767287,True,0.00098,-2.5,D,E1,,,183618.81,191034.8,False,False,False,False,0.9194655757784375,1s2.2s.5p,3P*,1.0,1,True,3,1s2.2p.3p,3D,1.0,1,True,3,005002.000042,005002.000072,"u27,LS",,False
12587,B,B II,2,1348.07,1348.4474596,ritz,aire,,1348.07,False,,0.07,Infrarrojo,2300.0,3.361727836017593,True,3.8e-05,-3.72,D,E1,,,183618.81,191034.8,False,False,False,False,0.9194655757784375,1s2.2s.5p,3P*,2.0,2,True,5,1s2.2p.3p,3D,1.0,1,True,3,005002.000043,005002.000072,"u27,LS",,False
12588,B,B I,1,1349.0,1349.3777200000002,ritz,aire,,1349.0,False,,0.03,Infrarrojo,2890.0,3.4608978427565478,True,0.000158,-3.501,C+,E1,,,57786.4336,65197.29,False,False,False,False,0.9188290904973349,2s2.4p,2P*,0.5,1/2,True,2,2s2.8d,2D,1.5,3/2,True,4,005001.000014,005001.000034,u27,,False
