id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
10315,11,007001.000040,007001.000134,E1,C,789.9284,ritz,aire,,789.9284,False,,,3280000.0,0.0307,-0.911,,,99663.912,112319.805,False,False,False,False,False
10316,12,007002.000055,007002.000062,E1,D,790.608,ritz,aire,,790.608,False,,,4220.0,6.59e-05,-3.704,,,190120.24,202765.26,False,False,False,False,False
10317,18,010002.000033,010002.000059,E1,,790.7184,observada,aire,790.7184,790.71881,False,0.002,0.00019,,,,12.0,,279324.8733,291968.116,False,False,False,False,False
10318,11,007001.000038,007001.000104,E1,C,790.8471,ritz,aire,,790.8471,False,,,136000.0,0.00128,-2.292,,,97805.84,110447.032,False,False,False,False,False
10319,11,007001.000040,007001.000133,E1,C,791.5419,ritz,aire,,791.5419,False,,,31300000.0,0.147,-0.23,,,99663.912,112294.007,False,False,False,False,False
10320,18,010002.000047,010002.000065,E1,,792.6201,observada,aire,792.6201,792.62001,False,0.0004,0.00019,,,,240.0,,281720.2755,294333.192,False,False,False,False,False
10321,17,010001.000008,010001.000031,E1,C+,792.71172,observada,aire,792.71172,792.71177,False,4e-05,9e-05,348000.0,0.00197,-2.01,300.0,,149824.2215,162435.678,False,False,False,False,False
10322,15,009001.000008,009001.000039,E1,C+,793.093,observada,aire,793.093,793.095,True,0.003,,2900000.0,0.0182,-0.96,2200.0,,115917.91,128523.28,False,False,False,False,False
10323,15,009001.000008,009001.000037,E1,C+,793.6314,observada,aire,793.6314,793.632,True,0.0002,,2760000.0,0.0348,-0.68,350.0,,115917.91,128514.75,False,False,False,False,False
10324,17,010001.000008,010001.000030,E1,B,793.69957,observada,aire,793.69957,793.69961,False,9e-05,9e-05,846000.0,0.00799,-1.4,1300.0,,149824.2215,162419.9818,False,False,False,False,False
10325,12,007002.000055,007002.000061,E1,D,793.818,ritz,aire,,793.818,False,,,44500.0,0.000421,-2.899,,,190120.24,202714.12,False,False,False,False,False
10326,13,008001.000063,008001.000274,E1,,794.315,observada,aire,794.315,794.3147,True,,,,,,100.0,,101135.407,113721.413,False,False,False,False,False
10327,17,010001.000008,010001.000029,E1,C+,794.31805,observada,aire,794.31805,794.31814,False,4e-05,9e-05,3820000.0,0.0506,-0.6,7900.0,,149824.2215,162410.1736,False,False,False,False,False
10328,17,010001.000008,010001.000028,E1,C+,794.41404,observada,aire,794.41404,794.41409,False,9e-05,9e-05,137000.0,0.0013,-2.19,200.0,,149824.2215,162408.6535,False,False,False,False,False
10329,9,006001.000028,006001.000143,E1,,794.46,observada,aire,794.46,794.457,False,0.003,0.003,,,,8100.0,*,75254.0017,87837.76,False,False,False,False,False
10330,9,006001.000028,006001.000144,E1,,794.46,observada,aire,794.46,794.457,False,0.003,0.003,,,,8100.0,*,75254.0017,87837.76,False,False,False,False,False
10331,18,010002.000032,010002.000058,E1,,794.4919,observada,aire,794.4919,794.49083,False,0.002,0.0002,,,,60.0,,279218.6416,291801.858,False,False,False,False,False
10332,13,008001.000064,008001.000275,E1,,794.717,observada,aire,794.717,794.7168,True,,,,,,100.0,,101147.526,113727.165,False,False,False,False,False
10333,13,008001.000063,008001.000273,E1,,794.755,observada,aire,794.755,794.7548,True,,,,,,235.0,,101135.407,113714.444,False,False,False,False,False
10334,13,008001.000064,008001.000274,E1,,795.08,observada,aire,795.08,795.0803,True,,,,,,210.0,,101147.526,113721.413,False,False,False,False,False
10335,9,006001.000028,006001.000140,E1,,795.1346,observada,aire,795.1346,795.1338,False,0.0014,0.001,,,,4200.0,,75254.0017,87827.043,False,False,False,False,False
10336,13,008001.000065,008001.000275,E1,,795.216,observada,aire,795.216,795.2159,True,,,,,,185.0,,101155.422,113727.165,False,False,False,False,False
10337,9,006001.000029,006001.000140,E1,,795.219,observada,aire,795.219,795.2155,False,0.003,0.001,,,,9400.0,*,75255.29373,87827.043,False,False,False,False,False
10338,9,006001.000029,006001.000139,E1,,795.219,observada,aire,795.219,795.219,False,0.003,0.003,,,,9400.0,*,75255.29373,87826.99,False,False,False,False,False
10339,15,009001.000010,009001.000044,E1,C+,795.409,observada,aire,795.409,795.407,True,0.003,,2200000.0,0.0418,-1.08,600.0,,116143.58,128712.3,False,False,False,False,False
10340,15,009001.000009,009001.000041,E1,C+,795.632,observada,aire,795.632,795.629,True,0.003,,3290000.0,0.0469,-0.73,300.0,,116040.88,128606.09,False,False,False,False,False
10341,10,006002.000027,006002.000042,E1,B,797.565,ritz,aire,,797.565,False,,0.005,72200.0,0.000689,-2.86,,,168729.51,181264.23,False,False,False,False,False
10342,13,008001.000044,008001.000065,E1,C,798.194,observada,aire,798.194,798.1942,False,,,23300.0,0.000223,-3.175,110.0,,88630.587,101155.422,False,False,False,False,False
10343,9,006001.000023,006001.000067,E1,C,798.1989,ritz,aire,,798.1989,False,,0.0003,36000.0,0.001,-2.98,,,71352.54344,83877.305,False,False,False,False,False
10344,13,008001.000045,008001.000065,E1,C,798.2298,ritz,aire,,798.2298,False,,,1800.0,1.03e-05,-4.287,,,88631.146,101155.422,False,False,False,False,False
10345,13,008001.000046,008001.000065,E1,C,798.24,observada,aire,798.24,798.2398,False,,,30900.0,0.000886,-3.053,135.0,,88631.303,101155.422,False,False,False,False,False
10346,18,010002.000053,010002.000083,E1,,798.5886,observada,aire,798.5886,798.59108,False,0.002,0.00013,,,,22.0,,290371.9268,302890.5369,False,False,False,False,False
10347,13,008001.000044,008001.000064,E1,C,798.698,observada,aire,798.698,798.6977,False,,,41900.0,0.000668,-2.698,190.0,,88630.587,101147.526,False,False,False,False,False
10348,13,008001.000045,008001.000064,E1,C,798.733,observada,aire,798.733,798.7334,False,,,14100.0,0.000135,-3.171,135.0,,88631.146,101147.526,False,False,False,False,False
10349,10,006002.000028,006002.000042,E1,B,798.76,ritz,aire,,798.76,False,,0.005,144000.0,0.000689,-2.56,,,168748.26,181264.23,False,False,False,False,False
10350,9,006001.000027,006001.000110,E1,D,798.7889,observada,aire,798.7889,798.7887,False,0.0014,0.0008,300000.0,0.009,-2.1,9800.0,,73975.92785,86491.441,False,False,False,False,False
10351,9,006001.000028,006001.000302,E1,,799.2526,observada,aire,799.2526,799.2539,False,0.0014,0.0012,,,,2900.0,,75254.0017,87762.23,False,False,False,False,False
