id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
002001.000026,2,1s.4d,1D,2.0,2,True,5,23.73633503536,True,4e-11
002001.000027,2,1s.4f,3F*,3.0,3,True,7,23.737006806968,True,8e-12
002001.000028,2,1s.4f,3F*,4.0,4,True,9,23.737007692183,True,6e-12
002001.000029,2,1s.4f,3F*,2.0,2,True,5,23.737008760725,True,8e-12
002001.000030,2,1s.4f,1F*,3.0,3,True,7,23.737009722091,True,6e-12
002001.000031,2,1s.4p,1P*,1.0,1,True,3,23.7420700688,True,1.6e-10
002001.000032,2,1s.5s,3S,1.0,1,True,3,23.9719714182,True,1.6e-09
002001.000033,2,1s.5s,1S,0.0,0,True,1,24.0112149898,True,1.2e-09
002001.000034,2,1s.5p,3P*,2.0,2,True,5,24.028225064,True,5e-10
002001.000035,2,1s.5p,3P*,1.0,1,True,3,24.0282256244,True,5e-10
002001.000036,2,1s.5p,3P*,0.0,0,True,1,24.0282324989,True,5e-10
002001.000037,2,1s.5d,3D,3.0,3,True,7,24.042662242088,True,2.5e-11
002001.000038,2,1s.5d,3D,2.0,2,True,5,24.042662321526,True,2.5e-11
002001.000039,2,1s.5d,3D,1.0,1,True,3,24.042663494166,True,2.5e-11
002001.000040,2,1s.5d,1D,2.0,2,True,5,24.042803412125,True,2.1e-11
002001.000041,2,1s.5f,3F*,3.0,3,True,7,24.043154084167,True,5e-12
002001.000042,2,1s.5f,3F*,4.0,4,True,9,24.043154465835,True,4e-12
002001.000043,2,1s.5f,3F*,2.0,2,True,5,24.043155012649,True,5e-12
002001.000044,2,1s.5f,1F*,3.0,3,True,7,24.043155648442,True,4e-12
002001.000045,2,1s.5g,3G,4.0,4,True,9,24.0432156651818,True,1.2e-12
002001.000046,2,1s.5g,3G,5.0,5,True,11,24.0432160086825,True,9e-13
002001.000047,2,1s.5g,3G,3.0,3,True,7,24.0432163209841,True,1.2e-12
