Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s2.2p.6d""","=""1P*""","=""1""",3,"=""""","=""12.9168""","=""a""","=""0.0006""","=""004001.000149""","=""L9172"""
"=""1s2.2p.7s""","=""1P*""","=""1""",3,"=""""","=""12.945""","=""a""","=""0.014""","=""004001.000150""","=""L9172"""
"=""1s2.2p.7d""","=""1P*""","=""1""",3,"=""""","=""13.0133""","=""a""","=""0.0006""","=""004001.000151""","=""L9172"""
"=""1s2.2p.8s""","=""1P*""","=""1""",3,"=""""","=""13.029""","=""a""","=""0.014""","=""004001.000152""","=""L9172"""
"=""1s2.2p.8d""","=""1P*""","=""1""",3,"=""""","=""13.0764""","=""""","=""0.0006""","=""004001.000153""","=""L9172"""
"=""1s2.2p.9s""","=""1P*""","=""1""",3,"=""""","=""13.083""","=""a""","=""0.014""","=""004001.000154""","=""L9172"""
"=""1s2.2p.9d""","=""1P*""","=""1""",3,"=""""","=""13.1186""","=""""","=""0.0006""","=""004001.000155""","=""L9172"""
"=""1s2.2p.10s""","=""1P*""","=""1""",3,"=""""","=""13.121""","=""a""","=""0.014""","=""004001.000156""","=""L9172"""
"=""1s2.2p.10d""","=""1P*""","=""1""",3,"=""""","=""13.1494""","=""""","=""0.0006""","=""004001.000157""","=""L9172"""
"=""1s2.2p.11s""","=""1P*""","=""1""",3,"=""""","=""13.152""","=""""","=""0.014""","=""004001.000158""","=""L9172"""
"=""1s2.2p.12s""","=""1P*""","=""1""",3,"=""""","=""13.170""","=""""","=""0.014""","=""004001.000159""","=""L9172"""
"=""1s2.2p.11d""","=""1P*""","=""1""",3,"=""""","=""13.1728""","=""""","=""0.0006""","=""004001.000160""","=""L9172"""
"=""1s2.2p.13s""","=""1P*""","=""1""",3,"=""""","=""13.188""","=""""","=""0.014""","=""004001.000161""","=""L9172"""
"=""1s2.2p.12d""","=""1P*""","=""1""",3,"=""""","=""13.1899""","=""""","=""0.0006""","=""004001.000162""","=""L9172"""
"=""1s2.2p.13d""","=""1P*""","=""1""",3,"=""""","=""13.2032""","=""""","=""0.0006""","=""004001.000163""","=""L9172"""
"=""1s2.2p.14d""","=""1P*""","=""1""",3,"=""""","=""13.2140""","=""""","=""0.0006""","=""004001.000164""","=""L9172"""
"=""1s2.2p.15d""","=""1P*""","=""1""",3,"=""""","=""13.2228""","=""""","=""0.0006""","=""004001.000165""","=""L9172"""
"=""1s2.2p.16d""","=""1P*""","=""1""",3,"=""""","=""13.2301""","=""""","=""0.0006""","=""004001.000166""","=""L9172"""
"=""Be II (2p 2P*<1/2>)""","=""Limit""","=""---""",,"=""""","=""13.281358""","=""""","=""0.000007""","=""004001.Lim002""","=""L9172"""
"=""Be II (2p 2P*<3/2>)""","=""Limit""","=""---""",,"=""""","=""13.282174""","=""""","=""0.000007""","=""004001.Lim003""","=""L9172"""
"=""1s2.3s.3p""","=""1P*""","=""1""",3,"=""""","=""17.684""","=""a""","=""0.012""","=""004001.000169""","=""L9172"""
"=""1s2.3s.4p""","=""1P*""","=""1""",3,"=""""","=""18.834""","=""a""","=""0.015""","=""004001.000170""","=""L9172"""
"=""1s2.3s.7p?""","=""1P*?""","=""1""",3,"=""""","=""19.797""","=""a""","=""0.016""","=""004001.000171""","=""L9172"""
"=""1s2.3s.8p?""","=""1P*?""","=""1""",3,"=""""","=""19.914""","=""a""","=""0.016""","=""004001.000172""","=""L9172"""
"=""1s2.3s.9p?""","=""1P*?""","=""1""",3,"=""""","=""19.994""","=""a""","=""0.016""","=""004001.000173""","=""L9172"""
"=""1s2.3s.10p?""","=""1P*?""","=""1""",3,"=""""","=""20.046""","=""a""","=""0.016""","=""004001.000174""","=""L9172"""
"=""Be II (3s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""20.26207""","=""""","=""0.00004""","=""004001.Lim004""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""2""",5,"=""""","=""114.30""","=""a""","=""0.10""","=""004001.000178""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""1""",3,"=""""","=""114.30""","=""a""","=""0.10""","=""004001.000177""","=""L9172"""
"=""1s.2s2.2p""","=""3P*""","=""0""",1,"=""""","=""114.30""","=""a""","=""0.10""","=""004001.000176""","=""L9172"""
