Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s.2p.(3P*).9p""","=""2P""","=""1/2""",2,"=""""","=""30.137""","=""""","=""0.004""","=""""","=""  82         :    17  2s.2p.(3P*).9p        4D   ""","=""006002.000298""","=""L22145"""
"=""2s.2p.(3P*).9p""","=""2P""","=""3/2""",4,"=""""","=""30.140""","=""""","=""0.004""","=""""","=""  84         :    12  2s.2p.(3P*).9p        4D   ""","=""006002.000299""","=""L22145"""
"=""2s.2p.(3P*).9p""","=""2D""","=""3/2""",4,"=""""","=""30.155""","=""""","=""0.004""","=""""","=""  95         :     2  2s.2p.(3P*).9p        2P   ""","=""006002.000300""","=""L22145"""
"=""2s.2p.(3P*).9p""","=""2D""","=""5/2""",6,"=""""","=""30.161""","=""""","=""0.004""","=""""","=""  96         :     2  2s.2p.(3P*).9p        4P   ""","=""006002.000301""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4D*""","=""1/2""",2,"=""""","=""30.195""","=""""","=""0.004""","=""""","=""  96         :     3  2s.2p.(3P*).9d        4P*  ""","=""006002.000377""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4D*""","=""3/2""",4,"=""""","=""30.195""","=""""","=""0.004""","=""""","=""  62         :    22  2s.2p.(3P*).9d        2D*  ""","=""006002.000378""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4D*""","=""5/2""",6,"=""""","=""30.196""","=""""","=""0.004""","=""""","=""  38         :    43  2s.2p.(3P*).9d        2D*  ""","=""006002.000379""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4D*""","=""7/2""",8,"=""""","=""30.200""","=""""","=""0.003""","=""""","=""  89         :    11  2s.2p.(3P*).9d        4F*  ""","=""006002.000380""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4P*""","=""5/2""",6,"=""""","=""30.196""","=""""","=""0.004""","=""""","=""  67         :    29  2s.2p.(3P*).9d        4D*  ""","=""006002.000293""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4P*""","=""3/2""",4,"=""""","=""30.198""","=""""","=""0.004""","=""""","=""  86         :    13  2s.2p.(3P*).9d        4D*  ""","=""006002.000375""","=""L22145"""
"=""2s.2p.(3P*).9d""","=""4P*""","=""1/2""",2,"=""""","=""30.199""","=""""","=""0.004""","=""""","=""  96         :     3  2s.2p.(3P*).9d        4D*  ""","=""006002.000376""","=""L22145"""
"=""2p2.(3P).3s""","=""2P""","=""1/2""",2,"=""""","=""32.34""","=""""","=""0.03""","=""""","=""  62         :    30  2s.2p.(1P*).4p        2P   ""","=""006002.000302""","=""L22145"""
"=""2p2.(3P).3s""","=""2P""","=""3/2""",4,"=""""","=""32.35""","=""""","=""0.03""","=""""","=""  62         :    30  2s.2p.(1P*).4p        2P   ""","=""006002.000303""","=""L22145"""
"=""2p2.(3P).3p""","=""4D*""","=""1/2""",2,"=""""","=""33.184""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000309""","=""L22145"""
"=""2p2.(3P).3p""","=""4D*""","=""3/2""",4,"=""""","=""33.186""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000310""","=""L22145"""
"=""2p2.(3P).3p""","=""4D*""","=""5/2""",6,"=""""","=""33.189""","=""""","=""0.003""","=""""","=""  98                                             ""","=""006002.000311""","=""L22145"""
