Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.14699""","=""""","=""0.00004""","=""""","=""  88         :    11  2s2.2p.(2P*<1/2>).12s 2[1/2]* ""","=""006001.000228""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.154448""","=""""","=""0.000007""","=""""","=""  85         :    11  2s2.2p.(2P*<3/2>).11d 2[3/2]* ""","=""006001.000229""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.1549""","=""""","=""0.0004""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).11d 2[7/2]* ""","=""006001.000230""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.154767""","=""""","=""0.000017""","=""""","=""  61         :    22  2s2.2p.(2P*<3/2>).11d 2[3/2]* ""","=""006001.000341""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.155031""","=""""","=""0.000024""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).11d 2[5/2]* ""","=""006001.000231""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.155419""","=""""","=""0.000021""","=""""","=""  68         :    31  2s2.2p.(2P*<3/2>).12s 2[3/2]* ""","=""006001.000232""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.1556""","=""""","=""0.0003""","=""""","=""  59         :    34  2s2.2p.(2P*<3/2>).12s 2[3/2]* ""","=""006001.000344""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.1556""","=""""","=""0.0003""","=""""","=""  98                                                ""","=""006001.000343""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",3,"=""""","=""11.15559""","=""""","=""0.00005""","=""""","=""  82         :     9  2s2.2p.(2P*<3/2>).11d 2[3/2]* ""","=""006001.000342""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.16495""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000345""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).13s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.16498""","=""""","=""0.00021""","=""""","=""  99                                                ""","=""006001.000346""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).12d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.164967""","=""""","=""0.000024""","=""""","=""  99                                                ""","=""006001.000233""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).12d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.16498""","=""""","=""0.00021""","=""""","=""  88         :    10  2s2.2p.(2P*<1/2>).12d 2[5/2]* ""","=""006001.000347""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.165320""","=""""","=""0.000017""","=""""","=""  99                                                ""","=""006001.000234""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.17232""","=""""","=""0.00019""","=""""","=""  85         :    12  2s2.2p.(2P*<3/2>).12d 2[3/2]* ""","=""006001.000349""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.17271""","=""""","=""0.00007""","=""""","=""  79         :    21  2s2.2p.(2P*<3/2>).12d 2[7/2]* ""","=""006001.000348""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.17290""","=""""","=""0.00006""","=""""","=""  53         :    36  2s2.2p.(2P*<3/2>).12d 2[1/2]* ""","=""006001.000235""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.17315""","=""""","=""0.00004""","=""""","=""  78         :    21  2s2.2p.(2P*<3/2>).12d 2[5/2]* ""","=""006001.000236""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[1/2]*""","=""0""",1,"=""""","=""11.1732""","=""""","=""0.0003""","=""""","=""  98                                                ""","=""006001.000350""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""",3,"=""""","=""11.17327""","=""""","=""0.00017""","=""""","=""  61         :    25  2s2.2p.(2P*<3/2>).13s 2[3/2]* ""","=""006001.000352""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).12d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.17327""","=""""","=""0.00017""","=""""","=""  47         :    47  2s2.2p.(2P*<3/2>).13s 2[3/2]* ""","=""006001.000351""","=""L20057"""
