Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""1s2.7g""","=""2G""","=""9/2""",10,"=""""","=""17.100534""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000044""","=""L12158"""
"=""1s2.7g""","=""2G""","=""7/2""",8,"=""""","=""17.100534""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000043""","=""L12158"""
"=""1s2.7h""","=""2H*""","=""11/2""",12,"=""""","=""17.100537""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000046""","=""L12158"""
"=""1s2.7h""","=""2H*""","=""9/2""",10,"=""""","=""17.100537""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000045""","=""L12158"""
"=""1s2.8s""","=""2S""","=""1/2""",2,"=""[""","=""17.302635""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000047""","=""L12158"""
"=""1s2.8p""","=""2P*""","=""1/2""",2,"=""[""","=""17.350111""","=""]""","=""0.000025""","="" 100                                           ""","=""004002.000048""","=""L12158"""
"=""1s2.8p""","=""2P*""","=""3/2""",4,"=""[""","=""17.350123""","=""]""","=""0.000025""","="" 100                                           ""","=""004002.000049""","=""L12158"""
"=""1s2.8d""","=""2D""","=""5/2""",6,"=""[""","=""17.360339""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000051""","=""L12158"""
"=""1s2.8d""","=""2D""","=""3/2""",4,"=""[""","=""17.360339""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000050""","=""L12158"""
"=""1s2.8f""","=""2F*""","=""7/2""",8,"=""[""","=""17.360778""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000053""","=""L12158"""
"=""1s2.8f""","=""2F*""","=""5/2""",6,"=""[""","=""17.360778""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000052""","=""L12158"""
"=""1s2.8g""","=""2G""","=""9/2""",10,"=""""","=""17.36084""","=""""","=""0.00004""","="" 100                                           ""","=""004002.000055""","=""L12158"""
"=""1s2.8g""","=""2G""","=""7/2""",8,"=""""","=""17.36084""","=""""","=""0.00004""","="" 100                                           ""","=""004002.000054""","=""L12158"""
"=""1s2.8h""","=""2H*""","=""11/2""",12,"=""""","=""17.360850""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000057""","=""L12158"""
"=""1s2.8h""","=""2H*""","=""9/2""",10,"=""""","=""17.360850""","=""""","=""0.000025""","="" 100                                           ""","=""004002.000056""","=""L12158"""
"=""1s2.9s""","=""2S""","=""1/2""",2,"=""[""","=""17.498671""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000058""","=""L12158"""
"=""1s2.9p""","=""2P*""","=""1/2""",2,"=""[""","=""17.531767""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000059""","=""L12158"""
"=""1s2.9p""","=""2P*""","=""3/2""",4,"=""[""","=""17.531776""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000060""","=""L12158"""
"=""1s2.9d""","=""2D""","=""5/2""",6,"=""[""","=""17.538947""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000062""","=""L12158"""
"=""1s2.9d""","=""2D""","=""3/2""",4,"=""[""","=""17.538947""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000061""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""7/2""",8,"=""[""","=""17.539257""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000064""","=""L12158"""
"=""1s2.9f""","=""2F*""","=""5/2""",6,"=""[""","=""17.539257""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000063""","=""L12158"""
"=""1s2.9g""","=""2G""","=""9/2""",10,"=""[""","=""17.539294""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000066""","=""L12158"""
"=""1s2.9g""","=""2G""","=""7/2""",8,"=""[""","=""17.539294""","=""]""","=""0.000010""","="" 100                                           ""","=""004002.000065""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""11/2""",12,"=""[""","=""17.539303""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000068""","=""L12158"""
"=""1s2.9h""","=""2H*""","=""9/2""",10,"=""[""","=""17.539303""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000067""","=""L12158"""
"=""1s2.10s""","=""2S""","=""1/2""",2,"=""[""","=""17.637476""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000069""","=""L12158"""
"=""1s2.10p""","=""2P*""","=""1/2""",2,"=""[""","=""17.661462""","=""]""","=""0.000015""","="" 100                                           ""","=""004002.000070""","=""L12158"""
