Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p4.(3P).6s""","=""2P""","=""1/2""",2,"=""""","=""38.9333832""","=""""","=""0.0000004""","=""  78                            :    22  2s2.2p4.(3P).6s    4P    ""","=""010002.000189""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[2]*""","=""3/2""",4,"=""""","=""38.8590081""","=""""","=""0.0000025""","=""  99                                                              ""","=""010002.000170""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[2]*""","=""5/2""",6,"=""""","=""38.8591320""","=""""","=""0.0000007""","=""  99                                                              ""","=""010002.000171""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[4]*""","=""9/2""",10,"=""""","=""38.8605494""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000173""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[4]*""","=""7/2""",8,"=""""","=""38.8606478""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000174""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""38.8637778""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000175""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""38.8637841""","=""""","=""0.0000025""","="" 100                                                              ""","=""010002.000176""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""38.8643291""","=""""","=""0.0000025""","="" 100                                                              ""","=""010002.000177""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""38.8643301""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000178""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[3]*""","=""7/2""",8,"=""""","=""38.8653146""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000179""","=""L9088"""
"=""2s2.2p4.(3P<1>).5f""","=""2[3]*""","=""5/2""",6,"=""""","=""38.8653769""","=""""","=""0.0000010""","="" 100                                                              ""","=""010002.000180""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""38.8665890""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000181""","=""L9088"""
"=""2s2.2p4.(3P<1>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""38.8665929""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000182""","=""L9088"""
"=""2s2.2p4.(3P<0>).5f""","=""2[3]*""","=""7/2""",8,"=""""","=""38.8961927""","=""""","=""0.0000009""","="" 100                                                              ""","=""010002.000185""","=""L9088"""
"=""2s2.2p4.(3P<0>).5f""","=""2[3]*""","=""5/2""",6,"=""""","=""38.8962421""","=""""","=""0.0000016""","="" 100                                                              ""","=""010002.000186""","=""L9088"""
"=""2s2.2p4.(3P<0>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""38.8993595""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000187""","=""L9088"""
"=""2s2.2p4.(3P<0>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""38.899365""","=""""","=""0.000004""","="" 100                                                              ""","=""010002.000188""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4P*""","=""5/2""",6,"=""""","=""39.0460582""","=""""","=""0.0000005""","=""  83                            :    16  2s2.2p4.(3P).6p    4D*   ""","=""010002.000190""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4P*""","=""3/2""",4,"=""""","=""39.0599954""","=""""","=""0.0000005""","=""  70                            :    17  2s2.2p4.(3P).6p    4S*   ""","=""010002.000191""","=""L9088"""
"=""2s2.2p4.(3P).6p""","=""4P*""","=""1/2""",2,"=""""","=""39.1294269""","=""""","=""0.0000006""","=""  50                            :    26  2s2.2p4.(3P).6p    2P*   ""","=""010002.000195""","=""L9088"""
