Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.8p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""8.05455""","=""""","=""0.00015""","=""  92         :     7  2p2.(1S).8p    2P*  ""","=""005001.000033""","=""L12312"""
"=""2s2.8d""","=""2D""","=""3/2""",4,"=""""","=""8.083434""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).8d    2D   ""","=""005001.000034""","=""L12312"""
"=""2s2.8d""","=""2D""","=""5/2""",6,"=""""","=""8.083434""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).8d    2D   ""","=""005001.000117""","=""L12312"""
"=""2s2.8f""","=""2F*""","=""5/2""",6,"=""""","=""8.084685""","=""""","=""0.000006""","=""  92         :     8  2p2.(1S).8f    2F*  ""","=""005001.000035""","=""L12312"""
"=""2s2.8f""","=""2F*""","=""7/2""",8,"=""""","=""8.084685""","=""""","=""0.000006""","=""  92         :     8  2p2.(1S).8f    2F*  ""","=""005001.000122""","=""L12312"""
"=""2s2.9s""","=""2S""","=""1/2""",2,"=""""","=""8.092472""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).9s    2S   ""","=""005001.000036""","=""L12312"""
"=""2s2.9p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""8.10865""","=""""","=""0.00015""","=""  92         :     7  2p2.(1S).9p    2P*  ""","=""005001.000037""","=""L12312"""
"=""2s2.9d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.128612""","=""""","=""0.000019""","=""  95         :     5  2p2.(1S).9d    2D   ""","=""005001.000038""","=""L12312"""
"=""2s2.9f""","=""2F*""","=""5/2,7/2""",14,"=""""","=""8.129514""","=""""","=""0.000006""","=""  92         :     8  2p2.(1S).9f    2F*  ""","=""005001.000039""","=""L12312"""
"=""2s2.10s""","=""2S""","=""1/2""",2,"=""""","=""8.134526""","=""""","=""0.000019""","=""                                          ""","=""005001.000040""","=""L12312"""
"=""2s2.10d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.160905""","=""""","=""0.000019""","=""                                          ""","=""005001.000041""","=""L12312"""
"=""2s2.10f""","=""2F*""","=""5/2,7/2""",14,"=""""","=""8.161540""","=""""","=""0.000006""","=""                                          ""","=""005001.000042""","=""L12312"""
"=""2s2.11d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.184766""","=""""","=""0.000019""","=""                                          ""","=""005001.000043""","=""L12312"""
"=""2s2.11f""","=""2F*""","=""5/2,7/2""",14,"=""""","=""8.185267""","=""""","=""0.000006""","=""                                          ""","=""005001.000044""","=""L12312"""
"=""2s2.12d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.202911""","=""""","=""0.000019""","=""                                          ""","=""005001.000045""","=""L12312"""
"=""2s2.13d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.217013""","=""""","=""0.000020""","=""                                          ""","=""005001.000046""","=""L12312"""
"=""2s2.14d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.228200""","=""""","=""0.000020""","=""                                          ""","=""005001.000047""","=""L12312"""
"=""2s2.15d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.237218""","=""""","=""0.000020""","=""                                          ""","=""005001.000048""","=""L12312"""
"=""2s2.16d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.244597""","=""""","=""0.000020""","=""                                          ""","=""005001.000049""","=""L12312"""
"=""2s2.17d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.250713""","=""""","=""0.000020""","=""                                          ""","=""005001.000050""","=""L12312"""
"=""2s2.18d""","=""2D""","=""3/2,5/2""",10,"=""""","=""8.255835""","=""""","=""0.000020""","=""                                          ""","=""005001.000051""","=""L12312"""
