Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.35s""","=""1S""","=""0""",1,"=""[""","=""24.576194633969""","=""]""","=""0.000000000008""","=""002001.000223""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""2""",5,"=""[""","=""24.576240347176""","=""]""","=""0.000000000003""","=""002001.000343""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""1""",3,"=""[""","=""24.576240348725""","=""]""","=""0.000000000003""","=""002001.000318""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""0""",1,"=""[""","=""24.576240367788""","=""]""","=""0.000000000003""","=""002001.000293""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""3""",7,"=""[""","=""24.5762820132583""","=""]""","=""0.0000000000004""","=""002001.000443""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""2""",5,"=""[""","=""24.5762820135037""","=""]""","=""0.0000000000004""","=""002001.000418""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""1""",3,"=""[""","=""24.5762820169067""","=""]""","=""0.0000000000004""","=""002001.000393""","=""L22715c201"""
"=""1s.35d""","=""1D""","=""2""",5,"=""[""","=""24.57628250534329""","=""]""","=""0.00000000000025""","=""002001.000368""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""3""",7,"=""[""","=""24.57628356119235""","=""]""","=""0.00000000000025""","=""002001.000518""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""4""",9,"=""[""","=""24.57628356196936""","=""]""","=""0.00000000000025""","=""002001.000543""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""2""",5,"=""[""","=""24.57628356356194""","=""]""","=""0.00000000000025""","=""002001.000493""","=""L22715c201"""
"=""1s.35f""","=""1F*""","=""3""",7,"=""[""","=""24.57628356643899""","=""]""","=""0.00000000000025""","=""002001.000468""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""4""",9,"=""[""","=""24.57628376370554""","=""]""","=""0.00000000000025""","=""002001.000618""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""5""",11,"=""[""","=""24.57628376470286""","=""]""","=""0.00000000000025""","=""002001.000643""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""3""",7,"=""[""","=""24.57628376561303""","=""]""","=""0.00000000000025""","=""002001.000593""","=""L22715c201"""
"=""1s.35g""","=""1G""","=""4""",9,"=""[""","=""24.57628376623035""","=""]""","=""0.00000000000025""","=""002001.000568""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""5""",11,"=""[""","=""24.57628381362145""","=""]""","=""0.00000000000025""","=""002001.000718""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""6""",13,"=""[""","=""24.57628381427373""","=""]""","=""0.00000000000025""","=""002001.000743""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""4""",9,"=""[""","=""24.57628381486563""","=""]""","=""0.00000000000025""","=""002001.000693""","=""L22715c201"""
"=""1s.35h""","=""1H*""","=""5""",11,"=""[""","=""24.57628381530739""","=""]""","=""0.00000000000025""","=""002001.000668""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""6""",13,"=""[""","=""24.57628383002456""","=""]""","=""0.00000000000025""","=""002001.000818""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""7""",15,"=""[""","=""24.57628383048206""","=""]""","=""0.00000000000025""","=""002001.000843""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""5""",11,"=""[""","=""24.57628383089889""","=""]""","=""0.00000000000025""","=""002001.000793""","=""L22715c201"""
"=""1s.35i""","=""1I""","=""6""",13,"=""[""","=""24.57628383123006""","=""]""","=""0.00000000000025""","=""002001.000768""","=""L22715c201"""
"=""1s.35p""","=""1P*""","=""1""",3,"=""[""","=""24.5762915420321""","=""]""","=""0.0000000000005""","=""002001.000268""","=""L22715c201"""
"=""He II (1s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""24.587389011""","=""""","=""0.000000025""","=""002001.Lim001""","=""L17714"""
"=""2s.2p""","=""3P*""","=""0,1,2""",9,"=""""","=""58.311""","=""""","=""0.006""","=""002001.000195""","=""L1368"""
"=""2p2""","=""3P""","=""0,1,2""",9,"=""""","=""59.67378""","=""""","=""0.00015""","=""002001.000189""","=""L1341"""
"=""2p.3p""","=""3D""","=""1,2,3""",15,"=""""","=""63.119""","=""""","=""0.006""","=""002001.000196""","=""L1368"""
"=""2p.3d""","=""3D*""","=""1,2,3""",15,"=""""","=""63.78658""","=""""","=""0.00015""","=""002001.000197""","=""L1368"""
"=""2p.3d""","=""3P*""","=""0,1,2""",9,"=""""","=""64.0719""","=""""","=""0.0006""","=""002001.000198""","=""L1368"""
