Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""",1,"=""""","=""28.461124""","=""""","=""""","=""009002.000024""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""",9,"=""""","=""28.640060""","=""""","=""""","=""009002.000025""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""",7,"=""""","=""28.640176""","=""""","=""""","=""009002.000026""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",5,"=""""","=""28.640323""","=""""","=""""","=""009002.000027""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",3,"=""""","=""28.640448""","=""""","=""""","=""009002.000028""","="""""
"=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""",1,"=""""","=""28.640507""","=""""","=""""","=""009002.000029""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""1""",3,"=""""","=""28.772187""","=""""","=""""","=""009002.000030""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""2""",5,"=""""","=""28.772289""","=""""","=""""","=""009002.000031""","="""""
"=""2s2.2p3.(4S*).3d""","=""3D*""","=""3""",7,"=""""","=""28.772557""","=""""","=""""","=""009002.000032""","="""""
"=""2s2.2p3.(4S*).4s""","=""5S*""","=""2""",5,"=""""","=""29.154956""","=""""","=""""","=""009002.000033""","="""""
"=""2s2.2p3.(2D*).3p""","=""1P""","=""1""",3,"=""""","=""29.215944""","=""""","=""""","=""009002.000034""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",3,"=""""","=""29.281339""","=""""","=""""","=""009002.000035""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",5,"=""""","=""29.281672""","=""""","=""""","=""009002.000036""","="""""
"=""2s2.2p3.(2D*).3p""","=""3D""","=""3""",7,"=""""","=""29.284465""","=""""","=""""","=""009002.000037""","="""""
"=""2s2.2p3.(4S*).4s""","=""3S*""","=""1""",3,"=""""","=""29.379399""","=""""","=""""","=""009002.000038""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""4""",9,"=""""","=""29.447196""","=""""","=""""","=""009002.000039""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""3""",7,"=""""","=""29.447268""","=""""","=""""","=""009002.000040""","="""""
"=""2s2.2p3.(2D*).3p""","=""3F""","=""2""",5,"=""""","=""29.447353""","=""""","=""""","=""009002.000041""","="""""
"=""2s2.2p3.(2D*).3p""","=""1F""","=""3""",7,"=""""","=""29.548333""","=""""","=""""","=""009002.000042""","="""""
"=""2s.2p5""","=""1P*""","=""1""",3,"=""""","=""29.707270""","=""""","=""""","=""009002.000043""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""2""",5,"=""""","=""29.767682""","=""""","=""""","=""009002.000044""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""1""",3,"=""""","=""29.775141""","=""""","=""""","=""009002.000045""","="""""
"=""2s2.2p3.(2D*).3p""","=""3P""","=""0""",1,"=""""","=""29.778428""","=""""","=""""","=""009002.000046""","="""""
"=""2s2.2p3.(4S*).4p""","=""5P""","=""1""",3,"=""""","=""30.185057""","=""""","=""""","=""009002.000047""","="""""
"=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",5,"=""""","=""30.185538""","=""""","=""""","=""009002.000048""","="""""
