Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",6,"=""""","=""14.89671""","=""""","=""""","=""007001.000332""","="""""
"=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",4,"=""""","=""14.89742""","=""""","=""""","=""007001.000333""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",4,"=""""","=""14.91649""","=""""","=""""","=""007001.000334""","="""""
"=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",2,"=""""","=""14.91669""","=""""","=""""","=""007001.000335""","="""""
"=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",2,"=""""","=""14.94828""","=""""","=""""","=""007001.000336""","="""""
"=""2s.2p4""","=""2D""","=""3/2""",4,"=""""","=""""","=""""","=""""","=""007001.000013""","="""""
"=""2s.2p4""","=""2D""","=""5/2""",6,"=""""","=""15.02695""","=""""","=""""","=""007001.000337""","="""""
"=""2s2.2p2.(1D).4p""","=""2F*""","=""5/2""",6,"=""""","=""15.15662""","=""""","=""""","=""007001.000338""","="""""
"=""2s2.2p2.(1D).4p""","=""2F*""","=""7/2""",8,"=""""","=""15.15662""","=""""","=""""","=""007001.000339""","="""""
"=""2s2.2p2.(1D).4f H""","=""2[5]*""","=""9/2""",10,"=""""","=""15.583335""","=""""","=""""","=""007001.000340""","="""""
"=""2s2.2p2.(1D).4f H""","=""2[5]*""","=""11/2""",12,"=""""","=""15.583335""","=""""","=""""","=""007001.000341""","="""""
"=""2s.2p3.(5S*).3s""","=""6S*""","=""5/2""",6,"=""[""","=""16.241930""","=""]+x""","=""""","=""007001.000342""","="""""
"=""2s.2p3.(5S*).3p""","=""6P""","=""3/2""",4,"=""""","=""17.615768""","=""+x""","=""""","=""007001.000343""","="""""
"=""2s.2p3.(5S*).3p""","=""6P""","=""5/2""",6,"=""""","=""17.615912""","=""+x""","=""""","=""007001.000344""","="""""
"=""2s.2p3.(5S*).3p""","=""6P""","=""7/2""",8,"=""""","=""17.616187""","=""+x""","=""""","=""007001.000345""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""1/2""",2,"=""""","=""17.898""","=""""","=""""","=""007001.000346""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""3/2""",4,"=""""","=""17.898""","=""""","=""""","=""007001.000347""","="""""
"=""2s.2p3.(5S*).3p""","=""4P""","=""5/2""",6,"=""""","=""17.898""","=""""","=""""","=""007001.000348""","="""""
"=""2s.2p3.(5S*).4p""","=""4P""","=""1/2""",2,"=""""","=""19.1480""","=""""","=""""","=""007001.000349""","="""""
"=""2s.2p3.(5S*).4p""","=""4P""","=""3/2""",4,"=""""","=""19.1480""","=""""","=""""","=""007001.000350""","="""""
"=""2s.2p3.(5S*).4p""","=""4P""","=""5/2""",6,"=""""","=""19.1480""","=""""","=""""","=""007001.000351""","="""""
"=""2s.2p3.(5S*).5p""","=""4P""","=""1/2""",2,"=""""","=""19.6294""","=""""","=""""","=""007001.000352""","="""""
"=""2s.2p3.(5S*).5p""","=""4P""","=""3/2""",4,"=""""","=""19.6294""","=""""","=""""","=""007001.000353""","="""""
"=""2s.2p3.(5S*).5p""","=""4P""","=""5/2""",6,"=""""","=""19.6294""","=""""","=""""","=""007001.000354""","="""""
"=""2s.2p3.(5S*).6p""","=""4P""","=""1/2""",2,"=""""","=""19.8674""","=""""","=""""","=""007001.000355""","="""""
"=""2s.2p3.(5S*).6p""","=""4P""","=""3/2""",4,"=""""","=""19.8674""","=""""","=""""","=""007001.000356""","="""""
"=""2s.2p3.(5S*).6p""","=""4P""","=""5/2""",6,"=""""","=""19.8674""","=""""","=""""","=""007001.000357""","="""""
"=""2s.2p3.(5S*).7p""","=""4P""","=""1/2""",2,"=""""","=""20.002""","=""""","=""""","=""007001.000358""","="""""
