element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
Li,2,"=""""","=""""","=""656.052""","=""0.008""","=""""","=""2.4840e+05""","=""1.1455e-03""","=""-2.09591""",AAA,"=""[582643.17]""","=""[597881.65]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""","=""003002.000030""","=""003002.000055""",
Li,2,"=""""","=""""","=""656.143""","=""0.006""","=""""","=""1.3056e+06""","=""2.5295e-02""","=""-1.59697""",AAA,"=""[581884.71]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""","=""003002.000020""","=""003002.000046""",
Li,2,"=""""","=""""","=""656.160""","=""0.006""","=""""","=""3.9167e+06""","=""2.5295e-02""","=""-1.11984""",AAA,"=""[581885.11]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""","=""003002.000021""","=""003002.000046""",
N,2,"=""""","=""""","=""656.176""","=""""","=""""","=""5.25e+06""","=""5.65e-02""","=""-0.771""",D,"=""196592.07""","=""211827.67""","=""2s2.2p.4s""","=""3P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",3,5,,"=""T6385n""","=""""","=""007002.000057""","=""007002.000099""",
Li,2,"=""""","=""""","=""656.191""","=""0.006""","=""""","=""6.5280e+06""","=""2.5298e-02""","=""-0.89794""",AAA,"=""[581885.83]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""","=""003002.000022""","=""003002.000046""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""8.0165e+02""","=""7.2504e-06""","=""-4.44067""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""","=""003002.000027""","=""003002.000054""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""1.9769e+04""","=""1.2771e-04""","=""-3.04867""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""","=""003002.000028""","=""003002.000054""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""3.2466e+05""","=""1.6313e-03""","=""-1.83322""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""","=""003002.000029""","=""003002.000054""",
B,1,"=""""","=""""","=""656.269""","=""0.007""","=""""","=""2.01e+05""","=""2.59e-03""","=""-2.29""",C,"=""48611.8663""","=""63845.323""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""u27""","=""""","=""005001.000009""","=""005001.000026""",
H,1,"=""656.270970""","=""0.000004""","=""656.270970""","=""0.000003""","=""""","=""5.3877e+07""","=""6.9614e-01""","=""0.14373""",AAA,"=""82258.9191133""","=""97492.319433""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L2752""","=""001001.001.000002""","=""001001.001.000007""",
H,1,"=""""","=""""","=""656.2714""","=""0.0004""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c67""","=""""","=""""",
H,1,"=""""","=""""","=""656.2722""","=""0.0009""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""c68""","=""""","=""""",
H,1,"=""656.272483""","=""0.000003""","=""656.272483""","=""0.000003""","=""""","=""2.2448e+07""","=""2.9005e-01""","=""-0.23650""",AAA,"=""82258.9543992821""","=""97492.319611""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L6891c38""","=""001001.001.000003""","=""001001.001.000008""",
