espectro,Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference,Lande
H I,"=""29""","=""""","=""""",1682.0,"=""[""","=""13.58226541""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000086""","=""L15291""",
H I,"=""30""","=""""","=""""",1800.0,"=""[""","=""13.58332538""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000087""","=""L15291""",
H I,"=""31""","=""""","=""""",1922.0,"=""[""","=""13.58428445""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000088""","=""L15291""",
H I,"=""32""","=""""","=""""",2048.0,"=""[""","=""13.58515502""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000089""","=""L15291""",
H I,"=""33""","=""""","=""""",2178.0,"=""[""","=""13.58594765""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000090""","=""L15291""",
H I,"=""34""","=""""","=""""",2312.0,"=""[""","=""13.58667137""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000091""","=""L15291""",
H I,"=""35""","=""""","=""""",2450.0,"=""[""","=""13.58733395""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000092""","=""L15291""",
H I,"=""36""","=""""","=""""",2592.0,"=""[""","=""13.58794208""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000093""","=""L15291""",
H I,"=""37""","=""""","=""""",2738.0,"=""[""","=""13.58850159""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000094""","=""L15291""",
H I,"=""38""","=""""","=""""",2888.0,"=""[""","=""13.58901750""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000095""","=""L15291""",
H I,"=""39""","=""""","=""""",3042.0,"=""[""","=""13.58949423""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000096""","=""L15291""",
H I,"=""40""","=""""","=""""",3200.0,"=""[""","=""13.58993566""","=""]""","=""0.00000012""","="" 100                    ""","=""001001.001.000097""","=""L15291""",
H I,"=""""","=""Limit""","=""---""",,"=""(""","=""13.598434599702""","="")""","=""0.000000000012""","=""                        ""","=""001001.001.Lim001""","=""HDEL""",
He I,"=""1s2""","=""1S""","=""0""",1.0,"=""[""","=""0.00000000""","=""]""","=""0.00000015""",,"=""002001.000001""","=""L22715""",
He I,"=""1s.2s""","=""3S""","=""1""",3.0,"=""[""","=""19.819614525""","=""]""","=""0.000000005""",,"=""002001.000002""","=""L22715c200,L20736""",
He I,"=""1s.2s""","=""1S""","=""0""",1.0,"=""[""","=""20.615774823""","=""]""","=""0.000000008""",,"=""002001.000003""","=""L22715c200,L20736""",
He I,"=""1s.2p""","=""3P*""","=""2""",5.0,"=""[""","=""20.96408688908""","=""]""","=""0.000000003""",,"=""002001.000004""","=""L22715c200,L20736""",
He I,"=""1s.2p""","=""3P*""","=""1""",3.0,"=""[""","=""20.96409636464""","=""]""","=""0.000000003""",,"=""002001.000005""","=""L22715c200,L20736""",
He I,"=""1s.2p""","=""3P*""","=""0""",1.0,"=""[""","=""20.96421885051""","=""]""","=""0.000000003""",,"=""002001.000006""","=""L22715c200,L20736""",
He I,"=""1s.2p""","=""1P*""","=""1""",3.0,"=""[""","=""21.2180227112""","=""]""","=""0.0000000016""",,"=""002001.000007""","=""L22715c200,L20736""",
He I,"=""1s.3s""","=""3S""","=""1""",3.0,"=""[""","=""22.718466419""","=""]""","=""0.000000008""",,"=""002001.000008""","=""L22715c200""",
He I,"=""1s.3s""","=""1S""","=""0""",1.0,"=""[""","=""22.920317359""","=""]""","=""0.000000004""",,"=""002001.000009""","=""L22715c200""",
He I,"=""1s.3p""","=""3P*""","=""2""",5.0,"=""[""","=""23.00707314571""","=""]""","=""0.00000000004""",,"=""002001.000010""","=""L22715c200""",
He I,"=""1s.3p""","=""3P*""","=""1""",3.0,"=""[""","=""23.0070758719""","=""]""","=""0.0000000004""",,"=""002001.000011""","=""L22715c200""",
He I,"=""1s.3p""","=""3P*""","=""0""",1.0,"=""[""","=""23.0071094335""","=""]""","=""0.0000000004""",,"=""002001.000012""","=""L22715c200""",
He I,"=""1s.3d""","=""3D""","=""3""",7.0,"=""[""","=""23.07365070854""","=""]""","=""0.00000000010""",,"=""002001.000013""","=""L22715c200,L21466""",
He I,"=""1s.3d""","=""3D""","=""2""",5.0,"=""[""","=""23.07365101981""","=""]""","=""0.00000000010""",,"=""002001.000014""","=""L22715c200,L21466""",
He I,"=""1s.3d""","=""3D""","=""1""",3.0,"=""[""","=""23.07365649967""","=""]""","=""0.00000000010""",,"=""002001.000015""","=""L22715c200,L21466""",
He I,"=""1s.3d""","=""1D""","=""2""",5.0,"=""[""","=""23.07407479777""","=""]""","=""0.00000000008""",,"=""002001.000016""","=""L22715c200,L21466""",
He I,"=""1s.3p""","=""1P*""","=""1""",3.0,"=""[""","=""23.08701852960""","=""]""","=""0.00000000021""",,"=""002001.000017""","=""L22715c200""",
He I,"=""1s.4s""","=""3S""","=""1""",3.0,"=""[""","=""23.593958713""","=""]""","=""0.000000003""",,"=""002001.000018""","=""L22715c200""",
He I,"=""1s.4s""","=""1S""","=""0""",1.0,"=""[""","=""23.673570590""","=""]""","=""0.000000003""",,"=""002001.000019""","=""L22715c200""",
He I,"=""1s.4p""","=""3P*""","=""2""",5.0,"=""[""","=""23.7078912279""","=""]""","=""0.0000000008""",,"=""002001.000020""","=""L22715c200""",
He I,"=""1s.4p""","=""3P*""","=""1""",3.0,"=""[""","=""23.7078923433""","=""]""","=""0.0000000008""",,"=""002001.000021""","=""L22715c200""",
He I,"=""1s.4p""","=""3P*""","=""0""",1.0,"=""[""","=""23.7079060221""","=""]""","=""0.0000000008""",,"=""002001.000022""","=""L22715c200""",
He I,"=""1s.4d""","=""3D""","=""3""",7.0,"=""[""","=""23.73609019010""","=""]""","=""0.00000000005""",,"=""002001.000023""","=""L22715c200,L21466""",
He I,"=""1s.4d""","=""3D""","=""2""",5.0,"=""[""","=""23.73609033897""","=""]""","=""0.00000000005""",,"=""002001.000024""","=""L22715c200,L21466""",
He I,"=""1s.4d""","=""3D""","=""1""",3.0,"=""[""","=""23.73609263507""","=""]""","=""0.00000000005""",,"=""002001.000025""","=""L22715c200,L21466""",
He I,"=""1s.4d""","=""1D""","=""2""",5.0,"=""[""","=""23.73633503536""","=""]""","=""0.00000000004""",,"=""002001.000026""","=""L22715c200,L21466""",
